location;Basel;Basel;Basel
lat;47,546944;47,546944;47,546944
lon;7,568918;7,568918;7,568918
asl;283,69672;283,69672;283,69672
variable;Temperature;Precipitation Total;Soil Moisture
unit;°C;mm;m³/m³
level;2 m elevation corrected;sfc;0-10 cm down
resolution;hourly;hourly;hourly
aggregation;None;None;None
timestamp;Basel Temperature [2 m elevation corrected];Basel Precipitation Total;Basel Soil Moisture [0-10 cm down]
2018-12-31T00:00:00;4,1805286;0;0,279
2018-12-31T01:00:00;4,3805285;0;0,279
2018-12-31T02:00:00;4,5005283;0;0,278
2018-12-31T03:00:00;4,6805286;0;0,278
2018-12-31T04:00:00;4,6905284;0;0,278
2018-12-31T05:00:00;4,9705286;0;0,278
2018-12-31T06:00:00;5,4005284;0;0,278
2018-12-31T07:00:00;5,7705283;0;0,278
2018-12-31T08:00:00;5,9105287;0;0,278
2018-12-31T09:00:00;6,7405286;0;0,278
2018-12-31T10:00:00;7,3905287;0;0,278
2018-12-31T11:00:00;7,9105287;0;0,277
2018-12-31T12:00:00;6,8805285;0;0,281
2018-12-31T13:00:00;6,9705286;0;0,281
2018-12-31T14:00:00;7,1605287;0;0,281
2018-12-31T15:00:00;7,040529;0;0,28
2018-12-31T16:00:00;6,5705285;0;0,28
2018-12-31T17:00:00;6,2605286;0;0,28
2018-12-31T18:00:00;5,9005284;0;0,28
2018-12-31T19:00:00;5,5905285;0;0,28
2018-12-31T20:00:00;5,4505286;0;0,28
2018-12-31T21:00:00;5,2705283;0;0,28
2018-12-31T22:00:00;5,1505284;0;0,28
2018-12-31T23:00:00;5,0505285;0;0,279
